seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,agent_id,is_poisoned,reputation_share,optimization_before,marginal_contribution,positive_contribution,contribution_share,optimization_after
0,2,0.3,0.0,uniform,0,uniform,0.0,guarded,controlled,5,1,0,15,True,3.697449648706734e-05,0.2,0.041939073801040644,0.041939073801040644,0.23520731095522956,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,guarded,controlled,5,1,0,1,False,0.14984511474643689,0.2,0.01677131950855255,0.01677131950855255,0.0964591635747378,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,guarded,controlled,5,1,0,2,False,0.4737265966771876,0.2,0.05159800499677658,0.05159800499677658,0.28845635310294315,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,guarded,controlled,5,1,0,3,False,0.231964695539853,0.2,0.03315258622169495,0.03315258622169495,0.18676799215673873,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,guarded,controlled,5,1,0,4,False,0.14442661854003544,0.2,0.034302824735641474,0.034302824735641474,0.1931091802103508,0.2
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,0,15,True,3.697449648706734e-05,0.2,0.041939073801040644,0.041939073801040644,0.23520731095522956,0.2176036554776148
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,0,1,False,0.14984511474643689,0.2,0.01677131950855255,0.01677131950855255,0.0964591635747378,0.1482295817873689
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,0,2,False,0.4737265966771876,0.2,0.05159800499677658,0.05159800499677658,0.28845635310294315,0.24422817655147158
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,0,3,False,0.231964695539853,0.2,0.03315258622169495,0.03315258622169495,0.18676799215673873,0.19338399607836937
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,0,4,False,0.14442661854003544,0.2,0.034302824735641474,0.034302824735641474,0.1931091802103508,0.1965545901051754
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,1,15,True,3.697449648706734e-05,0.2176036554776148,0.04193466007709503,0.04193466007709503,0.23521168233560596,0.22640766890661038
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,1,1,False,0.14984511474643689,0.1482295817873689,0.016766905784606934,0.016766905784606934,0.09644630782494532,0.1223379448061571
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,1,2,False,0.4737265966771876,0.24422817655147158,0.05159359127283096,0.05159359127283096,0.2884673359458707,0.26634775624867113
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,1,3,False,0.231964695539853,0.19338399607836937,0.03314817249774933,0.03314817249774933,0.18676634925536803,0.19007517266686869
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,1,4,False,0.14442661854003544,0.1965545901051754,0.03429841101169586,0.03429841101169586,0.19310832463821004,0.19483145737169272
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,2,15,True,3.697449648706734e-05,0.22640766890661038,0.04193409904837608,0.04193409904837608,0.2352122380597915,0.23080995348320094
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,2,1,False,0.14984511474643689,0.1223379448061571,0.016766344755887987,0.016766344755887987,0.09644467350112372,0.10939130915364041
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,2,2,False,0.4737265966771876,0.26634775624867113,0.05159303024411201,0.05159303024411201,0.2884687321710707,0.2774082442098709
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,2,3,False,0.231964695539853,0.19007517266686869,0.033147611469030384,0.033147611469030384,0.18676614039685024,0.18842065653185947
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,2,4,False,0.14442661854003544,0.19483145737169272,0.03429784998297691,0.03429784998297691,0.1931082158711639,0.1939698366214283
