seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,agent_id,is_poisoned,reputation_share,optimization_before,marginal_contribution,positive_contribution,leave_one_out_optimization_loss,leave_one_out_engine,leave_one_out_engine_losses,contribution_share,optimization_after
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,14,3,False,0.231964695539853,0.028435637579105888,0.003281830499569576,0.003281830499569576,0.00521852430065892,custom,"{""bfgs"": 0.06703149650886757, ""custom"": 0.00521852430065892}",0.07684423065105189,0.05263993411507889
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,14,4,False,0.14442661854003544,0.21042705134945247,0.02784804254770279,0.02784804254770279,0.02011988192956168,custom,"{""bfgs"": 0.024775961840266054, ""custom"": 0.02011988192956168}",0.6221212694535025,0.4162741604014775
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,15,15,True,3.697449648706734e-05,0.5191119517609277,0.010021870334943134,0.010021870334943134,0.01132766011601867,custom,"{""bfgs"": 0.06843455237563184, ""custom"": 0.01132766011601867}",0.9715596872398907,0.7453358195004092
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,15,1,False,0.14984511474643689,0.004014026093142061,-5.3297728300094604e-05,0.0,0.00239902544995993,custom,"{""bfgs"": 0.03607395723405087, ""custom"": 0.00239902544995993}",0.004,0.00400701304657103
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,15,2,False,0.4737265966771876,0.00795992762937378,0.0001288553078969308,0.0001288553078969308,0.0023458212763429035,custom,"{""bfgs"": 0.09278622885843585, ""custom"": 0.0023458212763429035}",0.016440312760109325,0.012200120194741553
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,15,3,False,0.231964695539853,0.05263993411507889,-5.967915058135986e-06,0.0,0.0023644062578096568,custom,"{""bfgs"": 0.06691408518584413, ""custom"": 0.0023644062578096568}",0.004,0.028319967057539447
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,15,4,False,0.14442661854003544,0.4162741604014775,-1.468012730280674e-05,0.0,0.0023704136793146055,custom,"{""bfgs"": 0.04861833051263606, ""custom"": 0.0023704136793146055}",0.004,0.21013708020073876
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,16,15,True,3.697449648706734e-05,0.7453358195004092,0.012965333958466847,0.012965333958466847,0.008456448422413054,custom,"{""bfgs"": 0.06183851606508786, ""custom"": 0.008456448422413054}",0.29223479396409313,0.5187853067322512
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,16,1,False,0.14984511474643689,0.00400701304657103,-0.004428087423245113,0.0,0.0014628720269742265,custom,"{""bfgs"": 0.04034185551476881, ""custom"": 0.0014628720269742265}",0.004,0.004003506523285515
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,16,2,False,0.4737265966771876,0.012200120194741553,-0.0035754616061846427,0.0,0.0015909146204702836,custom,"{""bfgs"": 0.10041359319907363, ""custom"": 0.0015909146204702836}",0.004,0.008100060097370777
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,16,3,False,0.231964695539853,0.028319967057539447,0.0032801156242688485,0.0032801156242688485,0.005271448193474654,custom,"{""bfgs"": 0.06702540637278998, ""custom"": 0.005271448193474654}",0.07692087146911665,0.05262041926332805
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,16,4,False,0.14442661854003544,0.21013708020073876,0.027836762368679043,0.027836762368679043,0.020123036412353214,custom,"{""bfgs"": 0.029533655448501978, ""custom"": 0.020123036412353214}",0.6228443345667903,0.41649070738376454
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,17,15,True,3.697449648706734e-05,0.5187853067322512,0.00987197458744049,0.00987197458744049,0.011323930823135741,custom,"{""bfgs"": 0.06844343439080339, ""custom"": 0.011323930823135741}",0.984,0.7513926533661256
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,17,1,False,0.14984511474643689,0.004003506523285515,-0.00019616136948267388,0.0,0.0024000610394145196,custom,"{""bfgs"": 0.03606735356443673, ""custom"": 0.0024000610394145196}",0.004,0.004001753261642758
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,17,2,False,0.4737265966771876,0.008100060097370777,-1.405800382296013e-05,0.0,0.0023473982852700954,custom,"{""bfgs"": 0.09277542575811508, ""custom"": 0.0023473982852700954}",0.004,0.006050030048685389
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,17,3,False,0.231964695539853,0.05262041926332805,-0.00014891475439071655,0.0,0.0023656884422746964,custom,"{""bfgs"": 0.06691065797065891, ""custom"": 0.0023656884422746964}",0.004,0.028310209631664023
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,17,4,False,0.14442661854003544,0.41649070738376454,-0.00014805917938550198,0.0,0.0023648834358951927,custom,"{""bfgs"": 0.045842612759903596, ""custom"": 0.0023648834358951927}",0.004,0.21024535369188227
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,18,15,True,3.697449648706734e-05,0.7513926533661256,0.013444664577643074,0.013444664577643074,0.008372452835115302,custom,"{""bfgs"": 0.06171485221553853, ""custom"": 0.008372452835115302}",0.2974670196133444,0.524429836489735
