agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,payment_contribution_source,payment_fallback_reason
15,2.0915473112553886e-05,0.17568374602558567,0.12265862042565458,0.07360353844463777,1.06,1.3470537999340872,11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
1,0.2783186153922114,0.21226088509944005,0.30643944297020254,0.2951911119390061,1.22,2.3712453365621236,11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.3112011667562441,0.20720734839797594,0.05511321768771476,0.1575483973151265,1.3800000000000001,1.9944387495289932,11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.31351073630522674,0.199793855111205,0.24232538135788995,0.27079952333682467,1.1400000000000001,2.196118141013616,11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
4,0.09694856607320518,0.20505416536579346,0.27346333755853824,0.202857428964405,1.3,2.0911439729611794,11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
15,3.383930563783968e-05,0.00782282457773533,0.19645033763078706,0.11788373830072738,1.06,1.8073829008266116,12,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
1,0.9303303080739512,0.005693052751554145,0.14695894340293694,0.4603074892713427,1.22,4.138349481980312,12,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
2,0.06963585262041094,0.07348047784705375,0.656590718966276,0.4218087724279299,1.3800000000000001,4.054267617193076,12,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
15,2.3715650421973248e-05,0.13419789072560576,0.012605230886884772,0.007572624792299653,1.06,1.0895332366899686,12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
1,0.6520047603629564,0.13355276718078113,0.015689634444044278,0.2702156848116091,1.22,2.2738411707652757,12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.048802997178967696,0.13413271685540715,0.007901744537896363,0.024262245594324897,1.3800000000000001,1.4746227578178672,12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.16071962719525115,0.2235944031641247,0.6607476491660952,0.4607364403777576,1.1400000000000001,2.9368721174732544,12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
4,0.1384488996124028,0.37452222207408126,0.30305574096507937,0.23721300442400875,1.3,2.2251307172536343,12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
15,2.291332380835261e-05,0.9000649136642785,0.9142662544763104,0.5485689180153095,1.06,3.1994187802597067,13,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,eval,
1,0.18405664842243658,0.004251081104270357,0.0002919116171436881,0.07379780633926085,1.22,1.5078114447231172,13,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,eval,
2,0.3710090607811708,0.0044283682778604545,0.00046789872689855937,0.14868436354860745,1.3800000000000001,1.9598690178395692,13,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,eval,
3,0.19717801832772477,0.053101073236470314,0.05015948601520146,0.10896689894021079,1.1400000000000001,1.5649709058668222,13,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,eval,
4,0.2477333591448595,0.03815456371712049,0.034814449164445836,0.1199820131566113,1.3,1.7679298513107842,13,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,eval,
15,3.0459045455353234e-05,0.2,0.30488443123471787,0.18294284235901287,1.06,2.011302780266867,13,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
1,0.24466942760243873,0.2,0.3264132272773187,0.29371570740736674,1.22,2.7473216785183068,13,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.4931882402221446,0.2,0.36123984826006994,0.4140192050448998,1.3800000000000001,3.532899866233479,13,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.2621118731299613,0.2,0.0074624932278936065,0.10932224518872069,1.1400000000000001,1.7084756749813477,13,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.32305188657389217,0.09213748059091052,0.02501840946364694,0.14423180030774505,1.3800000000000001,2.435776778252694,14,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
4,0.6769481134261078,0.6301553193477865,0.974981590536353,0.8557681996922548,1.3,7.564223221747305,14,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
15,4.7605674425288e-05,0.15100000000000002,0.3628546679422374,0.21773184303511256,1.06,2.174787036339776,14,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.11845078024728416,0.15100000000000002,0.45068584832043157,0.31779182109117254,1.3800000000000001,3.0070941239868034,14,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.6332906128281596,0.15100000000000002,0.13743502632725485,0.3357772609276167,1.1400000000000001,2.8591795759493976,14,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
4,0.24821100125013087,0.396,0.049024457410076,0.12869907494609795,1.3,1.9589392637240213,14,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
1,1.0,0.9835016168481157,1.0,1.0,1.22,10.0,15,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,eval,
15,1.6393653359256187e-05,0.04152976913118831,0.032245192723922275,0.019353673095697067,1.06,1.1354793250732187,15,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
1,0.37029495637411625,0.4589087532178092,0.3949951596794084,0.38511507835729153,1.22,2.7219488055934367,15,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.09661245520439424,0.049892080689424446,0.04467365484708089,0.06544917499000623,1.3800000000000001,1.6352517824610244,15,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
