seed,dimension,poison_ratio,target,initialization,evaluator,update_rate,round,agent_id,is_poisoned,reputation_share,optimization_before,marginal_contribution,positive_contribution,contribution_share,optimization_after
0,2,0.0,0.0,dirichlet,optimization,0.3,5,9,False,0.3778305024468295,0.7951917876653075,0.15150730122926595,0.15150730122926595,0.8476434038668738,0.8109272725257773
0,2,0.0,0.0,dirichlet,optimization,0.3,5,19,False,0.36617131850435053,0.14836630692982958,0.02504592389202945,0.02504592389202945,0.14568992946645964,0.14756339369081858
0,2,0.0,0.0,dirichlet,optimization,0.3,5,16,False,0.2559981790488201,0.0564419054048629,-0.0005719567115947287,0.0,0.006666666666666667,0.04150933378340403
0,2,0.0,0.0,dirichlet,uniform,0.0,0,9,False,0.3778305024468295,0.22662253039954267,0.15253855575186512,0.15253855575186512,0.7516383573988367,0.22662253039954267
0,2,0.0,0.0,dirichlet,uniform,0.0,0,19,False,0.36617131850435053,0.4548715942966364,0.019422163954004645,0.019422163954004645,0.1015211265582953,0.4548715942966364
0,2,0.0,0.0,dirichlet,uniform,0.0,0,16,False,0.2559981790488201,0.3185058753038209,0.02870164974592626,0.02870164974592626,0.14684051604286807,0.3185058753038209
0,2,0.0,0.0,dirichlet,uniform,0.3,0,9,False,0.3778305024468295,0.3840089382749932,0.1491648657247424,0.1491648657247424,0.7738576582955136,0.5009635542811494
0,2,0.0,0.0,dirichlet,uniform,0.3,0,19,False,0.36617131850435053,0.12660409490165359,0.01604847392688195,0.01604847392688195,0.08920785065307768,0.11538522162708084
0,2,0.0,0.0,dirichlet,uniform,0.3,0,16,False,0.2559981790488201,0.48938696682335314,0.025327959718803566,0.025327959718803566,0.13693449105140887,0.38365122409176994
0,2,0.0,0.0,dirichlet,uniform,0.3,1,9,False,0.3778305024468295,0.5009635542811494,0.152429269393906,0.152429269393906,0.752322937891382,0.5763713693642192
0,2,0.0,0.0,dirichlet,uniform,0.3,1,19,False,0.36617131850435053,0.11538522162708084,0.019312877596045535,0.019312877596045535,0.10114175240412013,0.11111218086019262
0,2,0.0,0.0,dirichlet,uniform,0.3,1,16,False,0.2559981790488201,0.38365122409176994,0.02859236338796715,0.02859236338796715,0.1465353097044979,0.3125164497755883
0,2,0.0,0.0,dirichlet,uniform,0.3,2,9,False,0.3778305024468295,0.5763713693642192,0.147407479196166,0.147407479196166,0.7863935536167487,0.6393780246399781
0,2,0.0,0.0,dirichlet,uniform,0.3,2,19,False,0.36617131850435053,0.11111218086019262,0.014291087398305535,0.014291087398305535,0.08226083019878512,0.10245677566177036
0,2,0.0,0.0,dirichlet,uniform,0.3,2,16,False,0.2559981790488201,0.3125164497755883,0.02357057319022715,0.02357057319022715,0.1313456161844663,0.2581651996982517
0,2,0.0,0.0,dirichlet,uniform,0.3,3,9,False,0.3778305024468295,0.6393780246399781,0.15246288889708617,0.15246288889708617,0.752112103509889,0.6731982483009513
0,2,0.0,0.0,dirichlet,uniform,0.3,3,19,False,0.36617131850435053,0.10245677566177036,0.019346497099225722,0.019346497099225722,0.10125859054955509,0.10209732012810577
0,2,0.0,0.0,dirichlet,uniform,0.3,3,16,False,0.2559981790488201,0.2581651996982517,0.028625982891147338,0.028625982891147338,0.14662930594055595,0.22470443157094294
0,2,0.0,0.0,dirichlet,uniform,0.3,4,9,False,0.3778305024468295,0.6731982483009513,0.1474074396149566,0.1474074396149566,0.7863938439945684,0.7071569270090363
0,2,0.0,0.0,dirichlet,uniform,0.3,4,19,False,0.36617131850435053,0.10209732012810577,0.014291047817096114,0.014291047817096114,0.08226066928003135,0.09614632487368344
0,2,0.0,0.0,dirichlet,uniform,0.3,4,16,False,0.2559981790488201,0.22470443157094294,0.02357053360901773,0.02357053360901773,0.13134548672540042,0.19669674811728016
0,2,0.0,0.0,dirichlet,uniform,0.3,5,9,False,0.3778305024468295,0.7071569270090363,0.14740744566855332,0.14740744566855332,0.7863937995838188,0.7309279887814711
0,2,0.0,0.0,dirichlet,uniform,0.3,5,19,False,0.36617131850435053,0.09614632487368344,0.01429105387069285,0.01429105387069285,0.0822606938911482,0.09198063557892287
0,2,0.0,0.0,dirichlet,uniform,0.3,5,16,False,0.2559981790488201,0.19669674811728016,0.023570539662614465,0.023570539662614465,0.131345506525033,0.17709137563960603
0,2,0.0,0.0,reversed,optimization,0.0,0,9,False,0.3778305024468295,0.2559981790488201,0.14986391580607275,0.14986391580607275,0.7810438703377776,0.2559981790488201
0,2,0.0,0.0,reversed,optimization,0.0,0,19,False,0.36617131850435053,0.36617131850435053,0.015599813094411892,0.015599813094411892,0.08727406022679912,0.36617131850435053
0,2,0.0,0.0,reversed,optimization,0.0,0,16,False,0.2559981790488201,0.3778305024468294,0.0241940203122978,0.0241940203122978,0.13168206943542332,0.3778305024468294
0,2,0.0,0.0,reversed,optimization,0.3,0,9,False,0.3778305024468295,0.2559981790488201,0.14986391580607275,0.14986391580607275,0.7810438703377776,0.4135118864355073
0,2,0.0,0.0,reversed,optimization,0.3,0,19,False,0.36617131850435053,0.36617131850435053,0.015599813094411892,0.015599813094411892,0.08727406022679912,0.28250214102108506
0,2,0.0,0.0,reversed,optimization,0.3,0,16,False,0.2559981790488201,0.3778305024468294,0.0241940203122978,0.0241940203122978,0.13168206943542332,0.3039859725434076
0,2,0.0,0.0,reversed,optimization,0.3,1,9,False,0.3778305024468295,0.4135118864355073,0.1496324842607613,0.1496324842607613,0.7542868931107721,0.5157443884380868
0,2,0.0,0.0,reversed,optimization,0.3,1,19,False,0.36617131850435053,0.28250214102108506,0.018006169085880024,0.018006169085880024,0.09663226655550448,0.22674117868141086
0,2,0.0,0.0,reversed,optimization,0.3,1,16,False,0.2559981790488201,0.3039859725434076,0.028503491272702183,0.028503491272702183,0.14908084033372337,0.2575144328805023
0,2,0.0,0.0,reversed,optimization,0.3,2,9,False,0.3778305024468295,0.5157443884380868,0.15333969561144306,0.15333969561144306,0.8204534863212634,0.6071571178030398
0,2,0.0,0.0,reversed,optimization,0.3,2,19,False,0.36617131850435053,0.22674117868141086,0.023451450818806667,0.023451450818806667,0.13112551277317136,0.19805647890893902
0,2,0.0,0.0,reversed,optimization,0.3,2,16,False,0.2559981790488201,0.2575144328805023,0.007867658639849551,0.007867658639849551,0.04842100090556533,0.19478640328802121
0,2,0.0,0.0,reversed,optimization,0.3,3,9,False,0.3778305024468295,0.6071571178030398,0.15039293283151836,0.15039293283151836,0.7088211785279601,0.637656336020516
0,2,0.0,0.0,reversed,optimization,0.3,3,19,False,0.36617131850435053,0.19805647890893902,0.02168015810005597,0.02168015810005597,0.10788698693845915,0.1710056313177951
0,2,0.0,0.0,reversed,optimization,0.3,3,16,False,0.2559981790488201,0.19478640328802121,0.03783095680315428,0.03783095680315428,0.18329183453358075,0.19133803266168908
0,2,0.0,0.0,reversed,optimization,0.3,4,9,False,0.3778305024468295,0.637656336020516,0.15098499601567394,0.15098499601567394,0.7317380130318192,0.6658808391239069
0,2,0.0,0.0,reversed,optimization,0.3,4,19,False,0.36617131850435053,0.1710056313177951,0.022977012183046413,0.022977012183046413,0.11700857876818753,0.1548065155529128
0,2,0.0,0.0,reversed,optimization,0.3,4,16,False,0.2559981790488201,0.19133803266168908,0.03010797310329043,0.03010797310329043,0.15125340819999322,0.1793126453231803
0,2,0.0,0.0,reversed,optimization,0.3,5,9,False,0.3778305024468295,0.6658808391239069,0.15134156941994004,0.15134156941994004,0.8533598946899115,0.7221245557937083
0,2,0.0,0.0,reversed,optimization,0.3,5,19,False,0.36617131850435053,0.1548065155529128,0.023827822660599258,0.023827822660599258,0.13997343864342182,0.1503565924800655
0,2,0.0,0.0,reversed,optimization,0.3,5,16,False,0.2559981790488201,0.1793126453231803,-0.001844407896177938,0.0,0.006666666666666667,0.1275188517262262
0,2,0.0,0.0,reversed,uniform,0.0,0,9,False,0.3778305024468295,0.2559981790488201,0.14971439633518457,0.14971439633518457,0.7700788705606744,0.2559981790488201
0,2,0.0,0.0,reversed,uniform,0.0,0,19,False,0.36617131850435053,0.36617131850435053,0.016598004537324112,0.016598004537324112,0.09130194246013745,0.36617131850435053
