seed,dimension,poison_ratio,target,initialization,evaluator,update_rate,round,target_error,evaluation_loss,consistency_l1,update_l1,informative,stage3_requests_cumulative,contribution_requests_cumulative
0,2,0.3,0.0,dirichlet,optimization,0.3,3,0.06546823657698297,0.016234153649248195,0.4528558909636877,0.13585676728910628,True,855,4131
0,2,0.3,0.0,dirichlet,optimization,0.3,4,0.06546823657698297,0.011948833037047723,0.5702244571952811,0.1710673371585844,True,1095,5106
0,2,0.3,0.0,dirichlet,optimization,0.3,5,0.06546829183190539,0.014442527615926582,0.394191578568897,0.11825747357066912,True,1338,6000
0,2,0.3,0.0,dirichlet,uniform,0.0,0,0.0023025976787570124,0.017984325687090557,0.47227470779431846,0.0,True,180,714
0,2,0.3,0.0,dirichlet,uniform,0.3,0,0.03908447882569277,0.017930006065095466,1.564531143757268,0.46935934312718036,True,210,714
0,2,0.3,0.0,dirichlet,uniform,0.3,1,0.03328094529650283,0.01743524909640352,1.0899968674995506,0.3269990602498652,True,360,1428
0,2,0.3,0.0,dirichlet,uniform,0.3,2,0.02377247950789929,0.01203932287171483,0.7098173495364777,0.2129452048609433,True,702,2142
0,2,0.3,0.0,dirichlet,uniform,0.3,3,0.01449932634875023,0.0038847931815932193,0.4263874431507189,0.12791623294521562,True,948,2856
0,2,0.3,0.0,dirichlet,uniform,0.3,4,0.02524223587275287,0.043825109799702965,0.7232254278460106,0.2169676283538032,True,1098,3570
0,2,0.3,0.0,dirichlet,uniform,0.3,5,0.06546823657698297,0.043600231409072876,0.5062577994922073,0.15187733984766216,True,1308,4284
0,2,0.3,0.0,reversed,optimization,0.0,0,0.03111901407550377,0.015775698375821264,0.7402523441821685,0.0,True,222,912
0,2,0.3,0.0,reversed,optimization,0.3,0,0.03111901407550377,0.015775698375821264,0.7402523441821685,0.22207570325465048,True,222,912
0,2,0.3,0.0,reversed,optimization,0.3,1,0.030051689057223996,0.019104497652291347,0.4924443422297134,0.14773330266891402,True,471,2040
0,2,0.3,0.0,reversed,optimization,0.3,2,0.022215029638328332,0.01943533861583464,0.36636844944749236,0.10991053483424773,True,702,2916
0,2,0.3,0.0,reversed,optimization,0.3,3,0.021046864699091117,0.019980970288130232,0.2747045808959021,0.08241137426877068,True,1029,3810
0,2,0.3,0.0,reversed,optimization,0.3,4,0.02239487663393519,0.013190586616900759,0.7960043956685374,0.2388013187005612,True,1428,5052
0,2,0.3,0.0,reversed,optimization,0.3,5,0.0651396279301899,0.019660491478597365,0.26967036862746774,0.08090111058824025,True,1692,6297
0,2,0.3,0.0,reversed,uniform,0.0,0,0.03111901407550377,0.017192501419534285,1.0381018337391996,0.0,True,222,714
0,2,0.3,0.0,reversed,uniform,0.3,0,0.03111901407550377,0.017192501419534285,1.0381018337391996,0.3114305501217598,True,222,714
0,2,0.3,0.0,reversed,uniform,0.3,1,0.021160500355092537,0.01675209201251467,0.7221319601555023,0.2166395880466507,True,576,1428
0,2,0.3,0.0,reversed,uniform,0.3,2,0.002547489449722329,0.017704833298921585,0.5153645364385371,0.1546093609315611,True,846,2142
0,2,0.3,0.0,reversed,uniform,0.3,3,0.06546810506529965,0.04360016683737437,0.6590310943901301,0.19770932831703908,True,1071,2856
0,2,0.3,0.0,reversed,uniform,0.3,4,0.06546829183190539,0.043600273629029594,0.46132176607309094,0.13839652982192724,True,1266,3570
0,2,0.3,0.0,reversed,uniform,0.3,5,0.06546823657698297,0.043600231409072876,0.3229252362511637,0.09687757087534911,True,1485,4284
1,2,0.0,0.0,stage0,optimization,0.0,0,0.014551338605549064,0.0014500775419274505,0.8976892052941523,0.0,True,255,360
1,2,0.0,0.0,stage0,optimization,0.3,0,0.014551338605549064,0.0014500775419274505,0.8976892052941523,0.2693067615882457,True,255,360
1,2,0.0,0.0,stage0,optimization,0.3,1,0.014140438806010285,0.0018773135451653961,0.722565446650102,0.21676963399503058,True,366,858
1,2,0.0,0.0,stage0,optimization,0.3,2,0.014386438038607015,0.00042194633934528134,0.30648614818080366,0.09194584445424112,True,792,1059
1,2,0.0,0.0,stage0,optimization,0.3,3,0.01482115546131349,0.0002028420190056163,0.3890274170425265,0.11670822511275804,True,1245,1494
1,2,0.0,0.0,stage0,optimization,0.3,4,0.014564335047879351,0.001618261564992045,0.19714735670383443,0.05914420701115036,True,1389,1596
1,2,0.0,0.0,stage0,optimization,0.3,5,0.014033476296538429,0.00015564653126265226,0.7102509821590135,0.21307529464770406,True,1845,2238
1,2,0.0,0.0,stage0,uniform,0.0,0,0.014551338605549064,0.0019731037318706512,0.8047783701815475,0.0,True,255,57
1,2,0.0,0.0,stage0,uniform,0.3,0,0.014551338605549064,0.0019731037318706512,0.8047783701815475,0.24143351105446428,True,255,57
1,2,0.0,0.0,stage0,uniform,0.3,1,0.01457582999770251,0.0017869298656781514,0.5597372890718848,0.16792118672156534,True,564,114
1,2,0.0,0.0,stage0,uniform,0.3,2,0.014779398696580293,0.0001948624849319458,0.3628612389174842,0.10885837167524526,True,927,171
1,2,0.0,0.0,stage0,uniform,0.3,3,0.014524541727388467,0.0011471261580785115,0.2709258044545973,0.08127774133637923,True,1209,228
1,2,0.0,0.0,stage0,uniform,0.3,4,0.014391247787212971,0.00033922741810480755,0.17521870654781863,0.05256561196434553,True,1482,285
1,2,0.0,0.0,stage0,uniform,0.3,5,0.014544305146591996,0.0006674068669478098,0.12841573841123616,0.03852472152337087,True,1920,342
1,2,0.0,0.0,uniform,optimization,0.0,0,0.014061642639210413,0.0020194388926029205,0.595631551265773,0.0,True,111,57
1,2,0.0,0.0,uniform,optimization,0.3,0,0.014061642639210413,0.0020194388926029205,0.595631551265773,0.17868946537973202,True,111,57
1,2,0.0,0.0,uniform,optimization,0.3,1,0.01421551158181699,0.0020038187165548776,0.4298534830707051,0.12895604492121154,True,231,696
1,2,0.0,0.0,uniform,optimization,0.3,2,0.014492093737538042,0.000994939406374074,0.289157553803451,0.08674726614103523,True,492,1635
1,2,0.0,0.0,uniform,optimization,0.3,3,0.014733744925317684,0.00019388689693756046,0.19301163929029475,0.05790349178708852,True,834,1692
1,2,0.0,0.0,uniform,optimization,0.3,4,0.014569501109838755,0.0016420251198039464,0.16690902767166765,0.05007270830150033,True,1011,2136
1,2,0.0,0.0,uniform,optimization,0.3,5,0.014776214479680028,0.0001858678618535712,0.09199968956795712,0.027599906870387117,True,1365,2193
1,2,0.0,0.0,uniform,uniform,0.0,0,0.014061642639210413,0.0020194388926029205,0.595631551265773,0.0,True,111,57
1,2,0.0,0.0,uniform,uniform,0.3,0,0.014061642639210413,0.0020194388926029205,0.595631551265773,0.17868946537973188,True,111,57
1,2,0.0,0.0,uniform,uniform,0.3,1,0.01421551158181699,0.0018762486676375072,0.41381376191432634,0.12414412857429791,True,231,114
1,2,0.0,0.0,uniform,uniform,0.3,2,0.014816338621567837,0.00017782673239707947,0.25492313342215245,0.07647694002664568,True,558,171
1,2,0.0,0.0,uniform,uniform,0.3,3,0.014533442545651407,0.0005774050951004028,0.1862490765429783,0.05587472296289352,True,999,228
1,2,0.0,0.0,uniform,uniform,0.3,4,0.014571716952797149,0.0015307193001111348,0.14990270352053592,0.04497081105616087,True,1185,285
1,2,0.0,0.0,uniform,uniform,0.3,5,0.01456295554620675,0.0014337611695130665,0.10288434494406962,0.030865303483220904,True,1332,342
1,2,0.0,0.0,dirichlet,optimization,0.0,0,0.014241765466269062,0.0020677370601418247,0.5662196826395189,0.0,True,123,480
1,2,0.0,0.0,dirichlet,optimization,0.3,0,0.01454868738837644,0.0011953563805123585,1.372673712817038,0.41180211384511145,True,132,417
1,2,0.0,0.0,dirichlet,optimization,0.3,1,0.014374509804557092,0.001765287921602157,0.4366103794158837,0.1309831138247651,True,255,474
1,2,0.0,0.0,dirichlet,optimization,0.3,2,0.0145931506268869,0.0018264062993263708,0.38714904655357996,0.116144713966074,True,495,1248
1,2,0.0,0.0,dirichlet,optimization,0.3,3,0.014557326494787243,0.0014380768019827412,0.1916062119035839,0.05748186357107514,True,696,1422
1,2,0.0,0.0,dirichlet,optimization,0.3,4,0.014518694699172257,0.0016205301926391095,0.13947155299561048,0.041841465898683206,True,822,1605
1,2,0.0,0.0,dirichlet,optimization,0.3,5,0.014695634618666409,0.00018274721812974656,0.07509326205709119,0.022527978617127388,True,1134,2022
1,2,0.0,0.0,dirichlet,uniform,0.0,0,0.014520595601486629,0.002264163146416346,0.9436831179983638,0.0,True,174,57
1,2,0.0,0.0,dirichlet,uniform,0.3,0,0.014422369504749613,0.002654793361822764,1.197436395113747,0.3592309185341241,True,222,57
