seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.7861559569155518, 0.0823924992260695, 0.1314515438583786]","[0.7863938815729015, 0.08226064845523637, 0.13134546997186208]",11,True,fixed_point_tolerance,0.5,11,0,0.031406330084990455,0.0069249052709589405,0.000951698629398437,0.0,2499,8547,ok,9.999999999999998
0,2,0.0,0.0,uniform,0,uniform,0.5,adaptive,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.7861559569155518, 0.0823924992260695, 0.1314515438583786]","[0.7863938815729015, 0.08226064845523637, 0.13134546997186208]",11,True,fixed_point_tolerance,0.5,11,0,0.031406330084990455,0.0069249052709589405,0.000951698629398437,0.0,2499,8547,ok,9.999999999999998
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.35427779719237645, 0.3217265342093416, 0.3239956685982819]","[0.7522929748549968, 0.1011583570279868, 0.1465486681170165]",20,False,max_rounds,0.05,11,9,0.025768968919724057,0.001898294547572732,0.7960303553252406,0.0,5172,15540,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.3636170410516935, 0.05454671061395645, 0.58183624833435]","[0.3636417689316379, 0.0543190699894723, 0.5820391610788899]",7,True,fixed_point_tolerance,0.5,7,0,0.014785181387582613,0.0001919331649939219,0.0009105624979367372,0.0,1680,399,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.5,adaptive,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.3636170410516935, 0.05454671061395645, 0.58183624833435]","[0.3636417689316379, 0.0543190699894723, 0.5820391610788899]",7,True,fixed_point_tolerance,0.5,7,0,0.014785181387582613,0.0001919331649939219,0.0009105624979367372,0.0,1680,399,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.3543624734957937, 0.13974267332870133, 0.5058948531755051]","[0.36363119601631655, 0.054416402435754796, 0.5819524015479286]",20,False,max_rounds,0.05,12,8,0.01480408214016344,0.00018183141946792603,0.1706525417858929,0.0,6816,1140,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.6826281760467328, 0.030547263304872375, 0.28682456064839484]","[0.6828728297874208, 0.030335185324890625, 0.28679198488768853]",11,True,fixed_point_tolerance,0.5,11,0,0.0001834965989777615,0.00831918977200985,0.0009786149627522209,0.0,2910,8745,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.5,adaptive,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.6826281760467328, 0.030547263304872375, 0.28682456064839484]","[0.6828728297874208, 0.030335185324890625, 0.28679198488768853]",11,True,fixed_point_tolerance,0.5,11,0,0.0001834965989777615,0.00831918977200985,0.0009786149627522209,0.0,2910,8745,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.6826281760467328, 0.030547263304872375, 0.28682456064839484]","[0.6828728297874208, 0.030335185324890625, 0.28679198488768853]",11,True,fixed_point_tolerance,0.5,11,0,0.0001834965989777615,0.00831918977200985,0.0009786149627522209,0.0,2910,8745,ok,10.0
3,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[4, 1, 16]","[0.4115740775572319, 0.32587384365854005, 0.262552078784228]","[0.6523403587022581, 0.0067065429687500015, 0.34095309832899195]","[0.6525827761927119, 0.006666666666666667, 0.3407505571406214]",13,True,fixed_point_tolerance,0.5,13,0,0.006783188614306823,0.02788066367308299,0.0009696699618152622,0.0,1809,5772,ok,10.0
