agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,payment_contribution_source,payment_fallback_reason
15,2.0915473112553886e-05,0.167173826954405,0.1299112956133651,0.07795514355726407,1.06,1.36402505987333,11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.2783186153922114,0.22447719632856883,0.23780286096039874,0.2540091627331238,1.22,2.2106357346591827,11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.3112011667562441,0.18977586080084705,0.21220188630108353,0.25180159848314776,1.3800000000000001,2.362026234084276,11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.31351073630522674,0.20487077747880753,0.20095299377842685,0.2459760907891468,1.1400000000000001,2.0993067540776726,11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.09694856607320518,0.21370233843737166,0.2191309633467258,0.17025800443731753,1.3,1.9640062173055384,11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,2.3715650421973248e-05,0.13419789072560576,0.012605230886884772,0.007572624792299653,1.06,1.0895332366899686,12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.6520047603629564,0.13355276718078113,0.015689634444044278,0.2702156848116091,1.22,2.2738411707652757,12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.048802997178967696,0.13413271685540715,0.007901744537896363,0.024262245594324897,1.3800000000000001,1.4746227578178672,12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.16071962719525115,0.2235944031641247,0.6607476491660952,0.4607364403777576,1.1400000000000001,2.9368721174732544,12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.1384488996124028,0.37452222207408126,0.30305574096507937,0.23721300442400875,1.3,2.2251307172536343,12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.652969900975283,0.38982176840238986,0.5954180324140028,0.6184387798385149,1.3800000000000001,6.0059220731920915,13,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,2,eval,
3,0.34703009902471704,0.3585115649309435,0.4045819675859972,0.38156122016148514,1.1400000000000001,3.994077926807909,13,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,2,eval,
15,4.7605674425288005e-05,0.17174579819233854,0.12450819359943238,0.07472395842942954,1.06,1.4425866671586793,14,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
2,0.11845078024728417,0.18637890264388463,0.18233145158373337,0.1567791830491537,1.3800000000000001,2.182709417211667,14,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
3,0.6332906128281597,0.18019605927240312,0.25007994661123384,0.4033642130980042,1.1400000000000001,3.2052247710617814,14,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
4,0.2482110012501309,0.46167923989137377,0.4430804082056004,0.3651326454234126,1.3,3.1694791445678723,14,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
15,1.6393653359256187e-05,0.04152976913118831,0.032245192723922275,0.019353673095697067,1.06,1.1354793250732187,15,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.37029495637411625,0.4589087532178092,0.3949951596794084,0.38511507835729153,1.22,2.7219488055934367,15,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.09661245520439424,0.049892080689424446,0.04467365484708089,0.06544917499000623,1.3800000000000001,1.6352517824610244,15,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.43423056371511676,0.4014868255042573,0.33060262238673704,0.37205379891808893,1.1400000000000001,2.591009815780547,15,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.09884563105301342,0.04818257145732075,0.1974833703628514,0.15802827463891622,1.3,1.9163102710917732,15,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,9.44830123365321e-06,0.28978116737367215,0.22349655636406202,0.13410171313893068,1.06,1.5829966812418297,16,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.33433986372828944,0.25594752957163,0.22830753838682033,0.270720468523408,1.22,2.275809827241291,16,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
