seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,target_error,evaluation_loss,consistency_l1,update_l1,eta_used,update_accepted,gate_triggered,eval_loss_delta,informative,stage3_requests_cumulative,contribution_requests_cumulative
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,1,0.031406293623680887,0.006924894095088045,0.4872316553201085,0.24361582766005418,0.5,True,False,0.0050378176383674145,True,537,1554
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,2,0.03140617103055865,0.006924814622228344,0.24361466159481127,0.12180733079740563,0.5,True,False,-7.947285970109907e-08,True,735,2331
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,3,0.03140631920729886,0.006924894095088045,0.12180849686264869,0.060904248431324415,0.5,True,False,7.947285970109907e-08,True,945,3108
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,4,0.03140631631998733,0.006924893474206328,0.06090423932142777,0.0304521196607139,0.5,True,False,-6.208817166994396e-10,True,1140,3885
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,5,0.03140630144710632,0.006924881677453716,0.030451946572718172,0.015225973286359024,0.5,True,False,-1.1796752612085182e-08,True,1377,4662
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,6,0.03140633431541118,0.006924905115738511,0.015226317184941815,0.0076131585924709005,0.5,True,False,2.3438284794778663e-08,True,1611,5439
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,7,0.03140632387404349,0.006924903408313791,0.007613133540247494,0.00380656677012374,0.5,True,False,-1.7074247198392567e-09,True,1860,6216
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,8,0.03140633186442353,0.0069249052709589405,0.0038065940998220915,0.0019032970499111013,0.5,True,False,1.862645149230957e-09,True,2073,6993
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,9,0.03140632209461039,0.006924898441260059,0.001903196841025065,0.0009515984205125533,0.5,True,False,-6.82969888109175e-09,True,2295,7770
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,10,0.031406330084990455,0.0069249052709589405,0.000951698629398437,0.0004758493146991699,0.5,True,False,6.82969888109175e-09,True,2499,8547
0,2,0.0,0.0,uniform,0,uniform,1.0,fixed,stage1,,,0,0.025550440028532184,0.0018870764567206304,0.8377785543617249,0.8377785543617249,1.0,True,False,,True,342,777
0,2,0.0,0.0,uniform,0,uniform,1.0,fixed,stage1,,,1,0.03140632387404349,0.006924903408313791,0.06834251478771305,0.06834251478771305,1.0,True,False,0.005037826951593161,True,540,1554
0,2,0.0,0.0,uniform,0,uniform,1.0,fixed,stage1,,,2,0.03140632187644851,0.006924900924786925,3.64395953134089e-08,3.643959524401996e-08,1.0,True,False,-2.4835268659303966e-09,True,744,2331
1,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,0,0.014061642639210413,0.0020194388926029205,0.595631551265773,0.0,0.0,False,False,,True,111,57
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,0,0.014061642639210413,0.0020194388926029205,0.595631551265773,0.17868946537973188,0.3,True,False,,True,111,57
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,1,0.01421551158181699,0.0018762486676375072,0.41381376191432634,0.12414412857429791,0.3,True,False,-0.00014319022496541334,True,231,114
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,2,0.014816338621567837,0.00017782673239707947,0.25492313342215245,0.07647694002664568,0.3,True,False,-0.0016984219352404277,True,558,171
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,3,0.014533442545651407,0.0005774050951004028,0.1862490765429783,0.05587472296289352,0.3,True,False,0.00039957836270332336,True,999,228
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,4,0.014571716952797149,0.0015307193001111348,0.14990270352053592,0.04497081105616087,0.3,True,False,0.0009533142050107319,True,1185,285
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,5,0.01456295554620675,0.0014337611695130665,0.10288434494406962,0.030865303483220904,0.3,True,False,-9.695813059806824e-05,True,1332,342
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,6,0.014613065607934926,0.0002816605071226756,0.04874222036024103,0.01462266610807221,0.3,True,False,-0.0011521006623903909,True,1599,399
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,7,0.014553075189225273,0.0013214349746704102,0.05504213323475825,0.016512639970427498,0.3,True,False,0.0010397744675477345,True,1803,456
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,8,0.014548320063311769,0.0012759876747926076,0.03758235790778167,0.011274707372334505,0.3,True,False,-4.54472998778026e-05,True,1992,513
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,9,0.014736413263434694,0.00021581724286079407,0.005057938804762248,0.0015173816414287833,0.3,True,False,-0.0010601704319318135,True,2334,570
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,10,0.014784388497691175,0.00019234046339988708,0.0030876117738430978,0.0009262835321528565,0.3,True,False,-2.3476779460906982e-05,True,2598,627
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,11,0.014787054216032262,0.00019120673338572183,0.002139473403548371,0.0006418420210645148,0.3,True,False,-1.1337300141652515e-06,True,2958,684
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,12,0.014777166985060042,0.0001948376496632894,0.001567630352860061,0.0004702891058579253,0.3,True,False,3.6309162775675636e-06,True,3171,741
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,13,0.014773294799922496,0.00019706661502520242,0.0011403212713897437,0.0003420963814170855,0.3,True,False,2.228965361913027e-06,True,3408,798
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,14,0.014780836454324438,0.00019460543990135193,0.0007507676615977482,0.00022523029847928283,0.3,True,False,-2.4611751238504955e-06,True,3699,855
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,0,0.014061642639210413,0.0020194388926029205,0.595631551265773,0.29781577563288664,0.5,True,False,,True,111,57
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,1,0.014816238462205991,0.00017793849110603333,0.2599431040423884,0.1299715520211942,0.5,True,False,-0.0018415004014968872,True,516,114
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,2,0.014509755947617291,0.001551626871029536,0.15774404215700308,0.07887202107850154,0.5,True,False,0.0013736883799235027,True,624,171
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,3,0.014800746190915912,0.00018421808878580728,0.051220492931468874,0.025610246465734357,0.5,True,False,-0.0013674087822437286,True,1071,228
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,4,0.014550706311564358,0.0013035113612810771,0.04804267280888923,0.024021336404444586,0.5,True,False,0.0011192932724952698,True,1230,285
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,5,0.014795007818279665,0.0001875994106133779,0.001654065174048286,0.0008270325870241152,0.5,True,False,-0.0011159119506676993,True,1467,342
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,6,0.014785181387582613,0.0001919331649939219,0.0009105624979367372,0.00045528124896831307,0.5,True,False,4.333754380544009e-06,True,1680,399
1,2,0.0,0.0,uniform,0,uniform,1.0,fixed,stage1,,,0,0.014061642639210413,0.0020194388926029205,0.595631551265773,0.595631551265773,1.0,True,False,,True,111,57
1,2,0.0,0.0,uniform,0,uniform,1.0,fixed,stage1,,,1,0.014723592247826156,0.00022291267911593118,0.03700518816090663,0.03700518816090663,1.0,True,False,-0.0017965262134869893,True,426,114
1,2,0.0,0.0,uniform,0,uniform,1.0,fixed,stage1,,,2,0.014759121591031175,0.00020560001333554587,0.00033425414239306867,0.00033425414239306867,1.0,True,False,-1.7312665780385317e-05,True,672,171
2,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,0,0.00018353634036660793,0.00831918977200985,0.6990789929081749,0.0,0.0,False,False,,True,240,795
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,0,0.00018353634036660793,0.00831918977200985,0.6990789929081749,0.2097236978724525,0.3,True,False,,True,240,795
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,1,0.00018353634036660793,0.00831918977200985,0.48935529503572245,0.14680658851071676,0.3,True,False,0.0,True,480,1590
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,2,0.00018353634036660793,0.00831918977200985,0.3425487065250057,0.10276461195750167,0.3,True,False,0.0,True,732,2385
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,3,0.00018353634036660793,0.00831918977200985,0.23978409456750402,0.07193522837025122,0.3,True,False,0.0,True,972,3180
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,4,0.00018356123683815895,0.008319214607278505,0.16784905979476672,0.05035471793843005,0.3,True,False,2.483526865583452e-08,True,1224,3975
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,5,0.0001835413661410712,0.008319209640224775,0.11749430313682516,0.03524829094104755,0.3,True,False,-4.96705373012607e-09,True,1497,4770
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,6,0.00018353634036660793,0.00831918977200985,0.0822458573177752,0.024673757195332477,0.3,True,False,-1.986821492570845e-08,True,1722,5565
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,7,0.00018353634036660793,0.00831918977200985,0.057572100122442724,0.01727163003673285,0.3,True,False,0.0,True,1950,6360
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,8,0.00018353634036660793,0.00831918977200985,0.040300470085709875,0.012090141025712979,0.3,True,False,0.0,True,2169,7155
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,9,0.00018349165066489093,0.008319187288482984,0.028210309700251363,0.008463092910075451,0.3,True,False,-2.483526865063035e-09,True,2394,7950
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,10,0.00018359115920674185,0.008319209640224775,0.01974739102792385,0.0059242173083771665,0.3,True,False,2.2351741790771484e-08,True,2652,8745
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,11,0.00018349165066489093,0.008319187288482984,0.013822999481798746,0.00414689984453967,0.3,True,False,-2.2351741790771484e-08,True,2898,9540
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,12,0.00018359115920674185,0.008319209640224775,0.009676273875007014,0.002902882162502042,0.3,True,False,2.2351741790771484e-08,True,3156,10335
