agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,payment_contribution_source,payment_fallback_reason
15,2.8130033684264264e-05,0.004822859132191965,0.04534414009538371,0.02721773607070393,1.06,1.1661491706757454,5,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.1536914849375397,0.16303416795331743,0.3494167839028019,0.271126664316697,1.22,2.277393990835118,5,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.2450844056789864,0.24014232690708398,0.15199847723410012,0.18923284861205464,1.3800000000000001,2.118008109587013,5,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.3698635338598678,0.35032142394328036,0.11443801198046162,0.2166082207322241,1.1400000000000001,1.984772060855674,5,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.23133244548992188,0.24167922206412631,0.3388025867872526,0.29581453026832033,1.3,2.453676668046449,5,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,1.7531970869868338e-05,0.15100000000000002,0.005015607817037556,0.0030163774785704808,1.06,1.0717638721664249,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.06596544496746644,0.15100000000000002,0.06266882737311263,0.06398747441085416,1.22,1.469551150202331,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.2104490459798888,0.15100000000000002,0.029986886534327493,0.10217175031255203,1.3800000000000001,1.778469826218953,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.4360783805935065,0.396,0.6505499735576641,0.5647613363720011,1.1400000000000001,3.342569211850804,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.2874895964882684,0.15100000000000002,0.25177870471785824,0.2660630614260223,1.3,2.337645939561487,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,2.2204989786411895e-05,0.29907906211678564,0.25649194141192255,0.15390404684306808,1.06,1.8726133673313994,6,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
1,0.08354805301873675,0.08887095463327692,0.0003861423228038566,0.03365090660117701,1.22,1.3976767868542146,6,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
3,0.5523118911745357,0.5316925320115402,0.7431137743914084,0.6667930211046593,1.1400000000000001,4.660667151432601,6,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
4,0.3641178508169411,0.0803574512383973,8.14187386516618e-06,0.14565202545109554,1.3,2.0690426943817846,6,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
15,5.1997864188056995e-05,0.20380061119968904,0.276804550895467,0.16610352968295541,1.06,1.707803765763526,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.1921260360658335,0.20252639588712446,0.25518257043261733,0.2299599566859038,1.22,2.1168438310750246,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.177482230602197,0.198302688780124,0.16586689339338273,0.17051302827690845,1.3800000000000001,2.045000810279943,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.34317242462192676,0.19766546887176664,0.15012129876980793,0.22734174911065547,1.1400000000000001,2.0266328215315563,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.2871673108458547,0.19770483526129587,0.15202468650872503,0.2060817362435769,1.3,2.10371877134995,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,5.1997864188056995e-05,0.22463025110108245,0.20599570561069216,0.12361822251209052,1.06,1.542111067797153,7,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.1921260360658335,0.5581452954475702,0.5347285066428774,0.39768751841205985,1.22,2.7709813218070334,7,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.177482230602197,0.05295763535903864,0.08938778346076569,0.1246255623173382,1.3800000000000001,1.866039693037619,7,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.34317242462192676,0.08949407403131449,0.08919171367860634,0.19078399805593452,1.1400000000000001,1.8840575924181446,7,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.2871673108458547,0.07477274406099425,0.08069629060705846,0.16328469870257695,1.3,1.93681032494005,7,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,1.1650676905008066e-05,0.19751428545746516,0.16737726647731496,0.10043102015715097,1.06,1.4516809786128888,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.5648165438065024,0.19129632333607477,0.03799220592448591,0.2487219410772925,1.22,2.1900155702014406,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.11025544073227392,0.20399905029064258,0.00609429833792663,0.04775875529566555,1.3800000000000001,1.5662591456530957,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.28669419245259165,0.20589549708275864,0.47882413808354235,0.401972159831162,1.1400000000000001,2.707691423341532,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.03822217233172725,0.20129484383305887,0.3097120911767302,0.20111612363872902,1.3,2.084352882191043,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,1.1650676905008066e-05,0.13995098708464326,0.09799228274168044,0.05880002991577027,1.06,1.289320116671504,8,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.5648165438065024,0.17562635541502683,0.014223174795539383,0.2344605223999246,1.22,2.1343960373597057,8,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.11025544073227392,0.28599711737070466,0.2140900495665603,0.17255620603284574,1.3800000000000001,2.0529692035280984,8,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.28669419245259165,0.33772993951451175,0.4547925698274724,0.3875532188775201,1.1400000000000001,2.651457553622328,8,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.03822217233172725,0.060695600615113435,0.2189019230687475,0.1466300227739394,1.3,1.8718570888183637,8,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,1.4511585698600712e-05,0.14119660494047717,0.24435853117298476,0.14662092333807028,1.06,1.631821601018474,9,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
