agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count
2,0.3848564806039701,0.32437117042775454,0.36366781211706084,0.3721432795118246,1.47,2.7538943143157946,0,5,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1
3,0.233271832629872,0.05405197127122541,0.007937848758027919,0.09807144230676557,1.23,1.5683464759583412,0,5,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1
4,0.2194903513756923,0.4696673944429144,0.5548722127160343,0.42071946817989747,1.39,2.841482165220646,0,5,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1
15,4.637614459823591e-05,0.0460811509387109,0.03581989433462496,0.021510487058614268,1.15,1.224211180352219,0,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
1,0.16233495924586724,0.04784584256961126,0.03770223207425201,0.0875553229428981,1.3099999999999998,1.6120658641529984,0,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
2,0.3848564806039701,0.35343857385974453,0.36366781211706084,0.3721432795118246,1.47,2.7538943143157946,0,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
3,0.233271832629872,0.019941733210651173,0.007937848758027919,0.09807144230676557,1.23,1.5683464759583412,0,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
4,0.2194903513756923,0.5326926994212822,0.5548722127160343,0.42071946817989747,1.39,2.841482165220646,0,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
15,4.637614459823591e-05,0.03581989433462496,0.03581989433462496,0.021510487058614268,1.15,1.224211180352219,0,5,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1
1,0.16233495924586724,0.03770223207425201,0.03770223207425201,0.0875553229428981,1.3099999999999998,1.6120658641529984,0,5,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1
2,0.3848564806039701,0.36366781211706084,0.36366781211706084,0.3721432795118246,1.47,2.7538943143157946,0,5,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1
3,0.233271832629872,0.007937848758027919,0.007937848758027919,0.09807144230676557,1.23,1.5683464759583412,0,5,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1
4,0.2194903513756923,0.5548722127160343,0.5548722127160343,0.42071946817989747,1.39,2.841482165220646,0,5,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1
3,0.7469625668031568,0.2,0.10206010473995511,0.3600210895652358,1.1400000000000001,3.8617594371131827,1,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
4,0.2530374331968432,0.2,0.8979398952600449,0.6399789104347642,1.3,6.138240562886817,1,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
3,0.7469625668031568,0.12464480790878918,0.10206010473995511,0.3600210895652358,1.1400000000000001,3.8617594371131827,1,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1
4,0.2530374331968432,0.7221763920912108,0.8979398952600449,0.6399789104347642,1.3,6.138240562886817,1,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1
3,0.7469625668031568,0.10703317201538343,0.10206010473995511,0.3600210895652358,1.1400000000000001,3.8617594371131827,1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
4,0.2530374331968432,0.8442168279846165,0.8979398952600449,0.6399789104347642,1.3,6.138240562886817,1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
3,0.7469625668031568,0.10083538348307565,0.10206010473995511,0.3600210895652358,1.1400000000000001,3.8617594371131827,1,2,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1
4,0.2530374331968432,0.8871646165169244,0.8979398952600449,0.6399789104347642,1.3,6.138240562886817,1,2,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1
